addr	symbol	size	class	source	status	fuzzy	alternatives
00176dd8	_ZN2YS5PARTY9exec_itemEPKNS_12COMMAND_ELEMERNS_6TARGETEi	160	float	lift	near	94.50	m2c:near:45.67;ghidra:near:26.52
00176f00	_ZN2YS5PARTY12exec_mpdriveEv	172	float	lift	near	90.98	m2c:near:81.33;ghidra:near:51.82
00177008	func_00177008	944	vu0	lift	near	70.72	ghidra:near:26.99;m2c:near:0.0
001773b8	func_001773b8	164	vu0	lift	near	48.22	ghidra:near:23.56;m2c:compile:0.0
00177460	_ZN2YS5PARTY4hookEPNS_2VME	52	straight	lift	near	98.46	ghidra:near:98.46;m2c:near:98.46
00177540	func_00177540	104	loop	lift	exact	100.00	m2c:near:99.58;ghidra:near:58.32
001775f8	func_001775f8	60	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:99.8;m2c:near:76.88
00177638	func_00177638	60	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:99.8;m2c:near:76.88
00177760	func_00177760	236	branchy	lift	near	84.95	m2c:near:71.69;ghidra:near:8.28
00177a38	func_00177a38	32	branchy	lift	exact	100.00	ghidra:exact:100.0;m2c:near:60.0
00177a58	func_00177a58	28	branchy	lift	exact	100.00	ghidra:near:80.0;m2c:near:62.14
00177a78	func_00177a78	60	branchy	lift	exact	100.00	ghidra:exact:100.0;m2c:near:78.67
00177ab8	func_00177ab8	232	branchy	m2c	near	84.90	ghidra:near:65.74;lift:near:36.51
00177ba0	func_00177ba0	84	branchy	lift	near	91.30	m2c:near:82.29;ghidra:near:78.77
00177bf8	func_00177bf8	84	branchy	lift	near	91.30	m2c:near:82.29;ghidra:near:78.77
