ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035f034	007fd724	7.0	Tz__CmTop__m_Warning	_ZN2Tz5CmTop9m_WarningE	Tz::CmTop::m_Warning	dk::SpriteMessage *
0035f040	007fd730	2.0	Tz__CmTop__m_Place	_ZN2Tz5CmTop7m_PlaceE	Tz::CmTop::m_Place	Tz::LayMsg *
0035f044	007fd734	4.0	Tz__CmTop__m_Munny	_ZN2Tz5CmTop7m_MunnyE	Tz::CmTop::m_Munny	Tz::MunnyDraw *
0035f048	007fd738	4.0	Tz__CmTop__m_Time	_ZN2Tz5CmTop6m_TimeE	Tz::CmTop::m_Time	Tz::TimeDraw *
0035f04c	007fd73c	22.0	Tz__CmTop__m_SclBar	_ZN2Tz5CmTop8m_SclBarE	Tz::CmTop::m_SclBar	Tz::ScrollBar *
0035f050	007fd740	6.0	Tz__CmTop__m_Light	_ZN2Tz5CmTop7m_LightE	Tz::CmTop::m_Light	Tz::LightCur *
0035f054	00b5b8c2	2.0	Tz__CmTop__m_HideCursor	_ZN2Tz5CmTop12m_HideCursorE	Tz::CmTop::m_HideCursor	BOOL_1
0035f056	00b5b8c3	2.0	Tz__CmTop__m_InitSetupObj	_ZN2Tz5CmTop14m_InitSetupObjE	Tz::CmTop::m_InitSetupObj	BOOL_1
0035f057	00b5b8c4	3.0	Tz__CmTop__m_FadeWait	_ZN2Tz5CmTop10m_FadeWaitE	Tz::CmTop::m_FadeWait	BOOL_1
0035f05c	00b5b8c7	2.0	Tz__CmTop__m_isNewJiminy	_ZN2Tz5CmTop13m_isNewJiminyE	Tz::CmTop::m_isNewJiminy	char
0035f060	00b5b8c8	3.0	Tz__CmTop__m_OldMember	_ZN2Tz5CmTop11m_OldMemberE	Tz::CmTop::m_OldMember	YS::MEMBER
0035f068	007fd650	2.0	Tz__s_isPause	_ZN2Tz9s_isPauseE	Tz::s_isPause	char
0035f069	007fd651	1.0	Tz__s_MenuCancel	_ZN2Tz12s_MenuCancelE	Tz::s_MenuCancel	bool
