ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
002b7148	292	loop	near	lift	0.00	0038701c	_ZN2Tz8TimeDrawD1Ev	Tz::TimeDraw::~TimeDraw()		sim-low
002edd20	292	float	near	m2c	56.53	0061c1d0	_ZN2Ts10ACTION_LIB15HeightFromFloorEPN2YS3OBJE	Ts::ACTION_LIB::HeightFromFloor(YS::OBJ*)		sim-high
00113fb0	288	branchy	near	lift	67.53	000e7680	_ZN2kn17FriendPersonality16execScriptActionEPNS_12FriendActionEPN2YS6TARGETEPPvb	kn::FriendPersonality::execScriptAction(kn::FriendAction*, YS::TARGET*, void**, bool)		med
00175790	288	branchy	near	lift	83.86	00476ab0	_ZN2YS5PARTYC1EPKNS_8OBJENTRYEjRKN2kn7FVectorEf	YS::PARTY::PARTY(YS::OBJENTRY const*, unsigned int, kn::FVector const&, float)		sim-high
00182c60	288	loop	near	lift	74.12	004ae318	_ZN2YS4UNIT8ExecTaskEP4TASK	YS::UNIT::ExecTask(TASK*)		med
0018da18	288	branchy	near	ghidra	80.36	00406de8	_ZN2YS6ATTACK12force_strikeEPNS_6BTLOBJEPKNS_11ATTACKPARAMEi	YS::ATTACK::force_strike(YS::BTLOBJ*, YS::ATTACKPARAM const*, int)		med
001a0800	288	float	near	ghidra	89.44	004798b0	_ZNK2YS11PARTYATTACK5is_inEPNS_5PARTYEfffRKNS_9COLLISIONE	YS::PARTYATTACK::is_in(YS::PARTY*, float, float, float, YS::COLLISION const&) const		sim-med
001b8838	288	branchy	near	m2c	55.38	004beae0	_ZN2YS9WORLDFLAG3SetEi	YS::WORLDFLAG::Set(int)		sim-low
001cfcf8	288	float	near	lift	54.93	0044fcfc	_ZN2YS6MICKEYC1EPKNS_8OBJENTRYEPNS_3PADERKN2kn7FVectorEf	YS::MICKEY::MICKEY(YS::OBJENTRY const*, YS::PAD*, kn::FVector const&, float)		sim-high
001dec78	288	float	near	m2c	40.67	002b595c	_ZN3ryj3PAX7MANAGERC1EPNS_6EFFECTEPNS0_4ELEMEPNS0_14USER_BIND_ARGSEf	ryj::PAX::MANAGER::MANAGER(ryj::EFFECT*, ryj::PAX::ELEM*, ryj::PAX::USER_BIND_ARGS*, float)		sim-high
0022ee30	288	float	near	lift	62.68	002d3c40	_ZN2sa5EVENT20set_shadow_alpha_seqERNS_16BIN_SHADOW_ALPHAEP4TASK	sa::EVENT::set_shadow_alpha_seq(sa::BIN_SHADOW_ALPHA&, TASK*)		sim-high
002309c8	288	float	near	lift	91.77	002cfe94	_ZN2sa5EVENT11objMoveTaskEP4TASK	sa::EVENT::objMoveTask(TASK*)		high
